"title","date","body"
"uaes,fujairah,oil,inventory,data,week,end,dec","January 2, 2019","singapore,jan,fujairah,oil,industry,zone,wednesday,publish,via,industry,service,sp,global,platts,follow,weekly,inventory,data,oil,product,week,end,dec,volume,thousand,barrel,figure,bracket,represent,volume,change,prior,week,calculated,week,light,middle,residual,fuel,dec,dec,dec,dec,dec,nov,nov,nov,nov,oct,oct,oct,oct,oct,sept,sept,sept,sept,aug,aug,aug,aug,july,july,july,july,july,june,june,june,june,may,may,may,may,april,april,april,april,april,march,march,march,march,feb,feb,feb,feb,jan,jan,jan,jan,jan,fujairah,oil,industry,zone,host,middle,east,large,commercial,storage,capacity,refine,product,data,view,reporting,roslan,uphereour"
"sterling,slide,dollar,rebound,brexit,concern,weigh","January 2, 2019","london,sterling,fell,percent,wednesday,reverse,gain,make,earlier,week,strong,factory,survey,fail,dispel,grow,concern,brexit,resurgent,weak,start,rebound,dollar,send,currency,develop,emerge,market,reel,volatile,sterling,large,fallerthe,pound,fell,percent,low,weak,dec,british,currency,rally,percent,intraday,trading,euro,sterling,weaken,percent,pencevery,little,move,brexit,saga,holiday,period,parliament,recess,last,two,week,return,next,monday,gbp,look,basket,usd,eur,remain,middle,narrow,range,hold,rbcs,chief,currency,strategist,adam,cole,write,note,minister,theresa,may,struggle,overcome,deep,opposition,brexit,plan,party,raise,risk,transition,period,provide,ease,britain,membership,european,unionmay,postpone,vote,divorce,deal,admit,parliament,would,reject,mp,set,discuss,agreement,vote,week,start,jan,survey,wednesday,show,british,factory,ramp,december,prepared,possible,border,delay,britain,leave,eudespite,increase,demand,confidence,remain,weak,everyone,know,increase,supply,raw,material,part,finish,good,eventually,run,supply,chain,disruption,hurt,business,later,line,say,jeremy,chief,economist,brexit,keep,currency,trader,edge,imply,volatility,gauge,pound,measure,shortterm,currency,elevatedin,future,market,trader,step,bearish,bet,sterling,take,net,short,bet,twomonth,high,reporting,tommy,wilkes,edit,robin,pomeroyour"
"landslide,kill,least,indonesia,year,disaster","January 2, 2019","jakarta,indonesian,rescue,team,search,victim,series,landslide,kill,least,people,year,day,official,say,year,natural,disaster,kill,least,people,miss,landslide,heavy,rain,bury,house,sukabumi,regency,west,javaloose,soil,danger,rescue,team,work,field,say,disaster,mitigation,agency,spokesman,sutopo,purwo,rain,force,rescuer,suspend,search,suffer,deadly,year,decade,series,tsunamis,different,region,kill,bernadette,christina,munthe,write,kanupriya,kapoor,edit,nick,macfieour"
"tsx,future,oil,price,slip","January 2, 2019","future,point,low,opening,canada,main,stock,index,wednesday,economic,worry,rise,production,hurt,oil,future,sptsx,index,percent,etoil,price,come,pressure,surge,output,major,opec,nonopec,producer,due,concern,economic,slowdown,could,weaken,demandihs,markit,canada,purchasing,manager,index,read,due,etthe,toronto,stock,exchange,sptsx,end,high,point,percent,mondaydow,jones,industrial,average,emini,future,percent,et,sp,emini,future,percent,nasdaq,emini,future,percenttop,storiesthe,social,medium,account,message,apps,canadian,detain,china,active,arrested,december,suspicion,engage,activity,endanger,china,gold,miner,zijin,mining,group,co,ltd,say,plan,sell,billion,yuan,worth,share,shanghai,help,fund,purchase,canada,nevsun,resource,ltdanalyst,research,national,railway,co,cibc,cut,price,target,ccargojet,inc,cibc,cut,price,target,clinamar,corp,cibc,cut,price,target,etgold,future,pctus,crude,pctbrent,crude,pctus,economic,data,due,wednesday,markit,pmi,final,dec,prior,texas,service,sector,outlook,dec,prior,dallas,fed,service,revenue,dec,prior,canadian,market,news,click,codestsx,market,dollar,bond,global,stock,poll,market,directory,csign,debanjan,bose,edit,shinjini,ganguliour"
"arm,men,kill,civilian,part,mali,hit,ethnic,violence","January 2, 2019","bamako,arm,men,kill,fulani,civilian,tuesday,central,mali,ethnic,violence,cost,hundred,live,last,year,government,fulani,rival,compound,already,dire,security,situation,mali,semiarid,desert,region,use,base,jihadist,group,tie,al,qaeda,islamic,statethe,government,say,statement,attacker,dress,donzo,hunter,raid,village,koulogon,central,mopti,region,victim,guindo,mayor,bankass,near,town,say,attack,occur,time,first,call,prayer,year,target,fulani,part,koulogonhe,say,another,part,koulogon,mostly,inhabit,dogon,ethnic,group,donzos,link,less,km,half,mile,awaymali,turmoil,tuareg,rebel,loosely,allied,islamist,take,north,prompt,french,force,intervene,push,back,follow,regain,foothold,north,centre,tap,ethnic,rivalry,recruit,tiemoko,diallo,write,aaron,ross,edit,kevin,liffeyour"
"pochettino,happy,spur,show,fixture,congestion","January 2, 2019","tottenham,hotspur,manager,mauricio,pochettino,praise,squad,resilience,follow,third,victory,four,premier,league,game,busy,festive,period,north,london,sidespurs,move,second,league,table,six,point,leader,liverpool,beat,everton,cardiff,city,go,wanderer,homeus,everton,team,suffer,little,bit,much,rest,game,think,player,effort,pochettino,tell,sky,sport,win,cardiff,tuesdayi,day,play,four,game,tough,chose,focus,title,race,stress,need,second,half,premier,league,tough,want,good,position,must,consistent,whole,season,cant,afford,lose,three,point,like,wolf,saidspurs,however,might,end,current,fixture,second,place,manchester,city,one,point,set,host,liverpool,thursdayit,game,course,go,enjoy,football,argentine,manager,addedboth,team,think,best,england,day,go,play,fa,cup,need,ready,busy,play,league,two,side,tranmere,third,fa,cup,prenton,park,friday,follow,first,leg,league,cup,semifinal,chelsea,rohith,nair,bengaluru,edit,sudipto,gangulyour"
"death,toll,rise,russian,apartment,block,collapse","January 2, 2019","moscow,jan,eighteen,dead,body,recover,debris,apartment,block,russia,partially,collapse,apparent,explosion,people,remain,regional,ministry,tell,blast,initially,think,cause,gas,leak,damage,apartment,storey,build,industrial,city,early,hour,monday,km,mile,east,moscowa,baby,boy,find,alive,tuesday,hour,spend,freeze,cold,rubble,emergency,official,describe,miraclein,separate,incident,late,tuesday,three,people,die,street,building,collapse,minibus,become,engulfed,flame,tass,news,agency,report,cite,local,government,footage,purport,show,incident,post,social,medium,site,show,burn,vehicle,bang,hear,police,spokesman,decline,comment,contact,phonethe,reason,collapse,apartment,block,still,committee,probe,major,cry,say,websiteit,say,trace,explosive,material,find,far,site,initial,report,put,possible,gas,leak,several,similar,incident,country,recent,year,due,age,poor,safety,gas,usagesign,vladimir,soldatkin,edit,william,macleanour"
"gold,dip,renew,risk,appetite,lifts,asian,stock","January 2, 2019","bengaluru,jan,gold,price,edge,low,wednesday,asian,equity,support,first,day,year,gain,stock,future,point,risk,spot,gold,fell,percent,per,ounce,gmt,metal,far,mondays,sixmonth,high,gold,future,little,change,per,ounce,dollar,index,track,greenback,basket,major,currency,marginally,low,president,donald,trump,invited,republican,democratic,leader,border,security,brief,white,house,federal,government,remain,partially,shut,demand,fund,wall,usmexico,border,asian,share,creep,cautiously,high,first,trading,day,year,early,gain,stock,future,speak,risk,appetite,history,show,best,choice,china,united,state,chinese,president,xi,jinping,tell,trump,message,tuesday,mark,year,diplomatic,relation,north,korean,leader,kim,jong,un,say,ready,meet,trump,anytime,achieve,common,goal,korean,peninsula,warn,may,take,path,sanction,pressure,country,continue,british,prime,minister,theresa,may,urge,lawmaker,back,brexit,deal,promising,would,allow,country,turn,corner,let,government,focus,solve,domestic,problem,housing,skill,shortage,mint,sale,american,eagle,gold,silver,coin,drop,low,year,mint,data,show,monday,investor,favor,asset,global,stock,bond,market,volatility,late,yearsign,sathya,narayanan,bengaluru,edit,richard,pullinour"
"germany,charge,man,suspect,racist,car,attack,attempt,murder","January 2, 2019","berlin,german,charge,man,arrest,year,day,attempt,murder,rammed,car,crowd,reveller,two,separate,attack,police,say,yearold,german,detain,drive,mercedes,people,year,western,city,bottrop,essen,suspect,hate,crime,eight,foreigner,city,munster,say,judge,approve,request,formally,charge,multiple,count,attempt,murderall,one,eight,people,injured,syria,eighth,man,suffer,leg,injury,identify,yearold,germanturk,essena,syrian,woman,suffer,injury,recover,hospital,emergency,operation,police,saidthe,suspect,make,racist,remark,police,officer,detain,essen,police,joseph,nasr,edit,richard"
"china,plan,km,rail,track,amid,push","January 2, 2019","shanghai,china,plan,invest,kilometer,mile,worth,railway,line,percent,jump,length,track,lay,last,year,national,railway,operator,say,wednesday,amid,wide,push,boost,spendingat,least,kilometer,target,highspeed,rail,china,railway,corp,say,post,official,wechat,railway,corp,say,invested,kilometer,worth,rail,line,last,year,highspeed,railthe,country,invest,billion,yuan,billion,rail,fix,asset,company,add,set,initial,budget,billion,yuan,january,last,yearit,give,investment,target,china,spent,billion,dollar,railway,network,decade,sign,start,slow,network,grow,beijing,begin,crack,local,government,debt,investment,target,low,however,government,begin,speed,investment,spending,second,half,last,year,bid,spur,growth,country,slow,economy,approve,railway,project,revive,suspended,one,chinese,brenda,goh,edit,sherry"
"china,didi,launch,credit,service,push","January 2, 2019","beijing,china,didi,chuxing,launch,suite,financial,product,include,lending,continue,diversify,outside,business,follow,year,safety,move,come,heels,announced,december,aim,improve,safety,platform,well,operate,product,test,city,introduce,nationwide,firm,say,wednesday,include,wealth,management,credit,lending,critical,illness,aim,shortterm,temporary,workersthe,product,bring,didi,investor,alibaba,group,hold,ltdand,technology,peer,tencent,holding,ltd,also,come,rival,include,firm,make,renew,push,market,dominate,didi,aim,tap,unmet,demand,bring,regulatory,changedidi,face,rule,increase,scrutiny,series,safety,incident,include,murder,two,female,didi,passenger,separate,casesas,part,subsequent,national,audit,firm,ministry,transport,say,didi,pledge,tighten,driver,firm,already,short,driver,major,city,curb,number,eligible,whose,backer,include,peer,uber,inc,uberul,apple,incand,japan,softbank,group,corp,domestic,business,expands,globally,service,south,america,cate,cadell,edit,cushingour"
"oil,price,rise,pct,amid,volatile","January 2, 2019","singapore,jan,oil,begin,positive,territory,wednesday,although,general,outlook,year,weak,amid,soar,crude,supply,concern,economic,texas,wti,spot,crude,oil,future,trade,per,barrel,gmt,cent,percent,final,close,brent,crude,future,yet,tradeoil,price,end,loss,first,time,desultory,fourth,quarter,saw,buyer,flee,market,grow,worry,supply,glut,mixed,signal,relate,renew,sanction,iranoil,price,register,first,yearly,decline,three,year,fear,slow,global,economy,concern,ongoing,supply,glut,say,adeel,minhas,consultant,australia,rivkin,year,west,texas,crude,wti,future,slump,nearly,percent,brent,tumble,nearly,percentthe,outlook,riddle,analyst,say,include,uschina,trade,concern,brexit,well,political,conflict,middle,easta,poll,show,oil,price,expect,trade,per,barrel,surplus,production,much,united,state,slow,economic,growth,undermine,effort,lead,petroleum,export,country,opec,cut,supply,prop,pricessign,henning,gloystein,edit,richard,pullinour"
"protest,india,woman,defy,ancient,ban,visit,hindu,temple","January 2, 2019","kochinew,delhi,two,woman,defy,ban,enter,hindu,temple,indian,state,kerala,wednesday,spark,protest,call,strike,hindu,group,outrage,fire,teargas,used,water,cannon,disperse,large,crowd,protester,state,capital,television,news,channel,protest,several,city,state,medium,supreme,court,september,order,lifting,ban,woman,girl,age,enter,sabarimala,temple,draw,million,yearbut,temple,refuse,abide,rule,subsequent,attempt,woman,visit,blocked,thousand,kerala,state,government,run,leftwing,party,seek,allow,woman,temple,position,drawn,criticism,indias,main,political,party,include,prime,minister,narendra,modis,hindu,bharatiya,janata,party,bjpthe,uproar,put,issue,religion,highly,india,squarely,political,agenda,month,general,election,due,maythe,raise,call,umbrella,group,rightwing,hindu,group,kerala,sabarimala,karma,samithi,support,bjp,statewide,protest,strike,bjp,call,protester,kerala,state,president,bjp,describe,womens,visit,conspiracy,atheist,ruler,destroy,hindu,templesthe,partys,state,president,sreedharan,pillai,tell,tv,channel,bjp,would,support,struggle,faith,devotee,come,forward,protest,main,opposition,congress,party,state,rare,alignment,main,rival,power,national,level,bjp,also,call,treachery,government,pay,price,violation,custom,sudhakaran,kerala,pradesh,congress,committee,say,hindu,group,say,believe,woman,age,would,defile,temple,inner,shrine,ban,impose,female,age,item,protester,shout,slogan,take,part,rally,call,various,hindu,two,woman,enter,sabarimala,temple,kochi,india,january,shout,slogan,take,part,rally,call,various,hindu,two,woman,enter,sabarimala,temple,kochi,india,january,vpurchase,tabnews,channel,report,chief,priest,briefly,shut,temple,ritual,woman,medium,report,two,woman,identify,police,bindu,ammini,kanaka,durga,try,go,dec,later,approach,police,help,officer,saidthere,elaborate,come,temple,early,morning,say,officer,decline,identified,fearing,reprisal,darkness,give,guard,home,woman,leave,temple,prepared,let,woman,enter,temple,saidwall,womena,video,police,official,post,online,ani,show,two,woman,temple,head,tell,television,channel,stealthy,trek,temple,middle,nightwe,reach,pampa,main,entry,point,temple,seek,police,protection,walk,two,hour,enter,temple,darshan,woman,say,refer,ritual,standing,front,temple,hindu,imagethe,state,government,defend,decision,protect,woman,go,temple,say,matter,civil,rightsi,earlier,make,clear,government,provide,protection,woman,come,forward,enter,temple,say,kerala,chief,minister,pinarayi,tell,news,conference,woman,face,wednesday,clear,manage,avoid,devotee,guard,templeon,tuesday,state,government,back,protest,thousand,woman,form,km,mile,human,chain,term,womens,wall,support,gender,equality,access,templemodi,interview,ani,tuesday,indicate,felt,temple,issue,religious,tradition,gender,say,temple,men,bar,jose,devasia,edit,martin,howell,robert,birselour"
"sfio,want,market,regulator,sebi,put,fit,proper,test,business,line","January 2, 2019","source,link,bitlybsdti,note,verify,story,vouch"
"engine,maker,cannot,escape,mln,liability,fatal,plane,crash,rd,circ","January 2, 2019","federal,appeal,court,upheld,million,jury,verdict,motor,inc,aircraft,engine,fail,fatal,plane,crasha,unanimous,threejudge,panel,rd,circuit,court,appeal,friday,reject,argument,federal,law,protect,aircraft,component,liability,shield,lawsuit,bring,one,crash,victim,read,full,story,westlaw,insight,click,uphereour"
"honduras,talk,israel,jerusalem,embassy","January 2, 2019","brasilia,honduras,hold,talk,israel,join,united,state,aim,embassy,jerusalem,country,say,tuesday,small,central,american,nation,look,follow,president,donald,trump,moveus,secretary,state,michael,pompeo,israeli,prime,minister,benjamin,netanyahu,honduran,president,juan,orlando,hernandez,held,meeting,brazilian,capital,sideline,rightwing,brazilian,president,jair,three,agree,hold,meeting,capital,country,advance,decision,process,embassy,jerusalem,well,strengthen,political,relation,coordinate,honduras,country,say,joint,hernandez,late,leader,consider,follow,trump,decision,move,embassy,tel,aviv,contest,city,jerusalem,infuriate,draw,told,reporter,trilateral,talk,important,political,repeatedly,threaten,cut,aid,honduras,poor,nation,less,million,people,caravan,migrant,cross,mexico,head,another,country,seek,close,tie,quickly,join,trumps,decision,move,embassy,jerusalem,two,day,office,may,paraguay,also,follow,government,say,sunday,bolsonaro,tell,question,brazil,would,move,embassy,israel,tel,aviv,mary,milliken,brasilia,gustavo,palencia,write,michael,oboyle,edit,simon"
"bengal,interview,fire,broncos,coach,joseph","January 2, 2019","vance,joseph,candidate,head,coach,gig,cincinnati,bengalsnfl,network,report,joseph,heard,bengal,work,defensive,assistant,marvin,lewis,almost,fire,monday,denver,bronco,joseph,one,first,candidate,speak,team,brass,look,coach,first,time,year,lewis,let,go,spent,two,season,head,coach,bronco,first,positionhe,schedule,spend,wednesday,night,thursday,bengal,owner,mike,brown,joseph,know,brown,time,cincinnati,bengal,also,set,formal,interview,chief,offensive,eric,bieniemy,patriot,offensive,josh,mcdaniels,per,level,mediaour"
"india,jet,airways,default,debt,payment,bank","January 2, 2019","jan,debtladen,jet,airways,ltd,delay,payment,consortium,indian,bank,lead,state,bank,india,ltd,airline,say,late,tuesdaythe,payment,interest,principal,instalment,delay,due,temporary,cash,flow,mismatch,company,talk,consortium,deadline,payment,dec,jet,saidherein,yearold,airline,face,financial,owes,money,pilot,lessor,vendor,intense,price,weak,rupee,rise,fuel,cost,weigh,indian,airline,jet,etihad,airway,talk,banker,rescue,deal,may,involve,abu,dhabibased,airline,increase,stake,tanvi,mehta,bengaluru,edit,sherry"
"italian,yr,yield,hit,month,low,lawmaker,endorse,budget,deal","January 2, 2019","london,jan,italys,year,borrowing,cost,hit,month,low,wednesday,market,reopen,first,time,italian,lawmaker,pass,budget,late,yield,italys,year,government,bond,dip,much,seven,basis,point,early,european,trade,percent,low,sept,year,bond,yield,spread,tighten,basis,pointssign,abhinav,ramnarayan,edit,tom,finnour,topicsus"
